"index";"Company";"TypeName";"Inches";"screen_size";"resolution_width";"resolution_height";"touchscreen";"cpu_brand";"Ram";"memory_type";"primary_storage";"secondary_storage";"gpu_brand";"gpu_name";"OpSys";"Weight";"price";"ppi"
1;"Apple";"Ultrabook";13.3;"small";2560;1600;0;"2.30";8;"SSD";128;0;"Intel";" Iris Plus Graphics 640";"macos";8;71379;227
2;"Apple";"Ultrabook";13.3;"small";1440;900;0;"1.80";8;"Flash Storage";128;0;"Intel";" HD Graphics 6000";"macos";8;47896;128
3;"HP";"Notebook";15.6;"medium";1920;1080;0;"2.50";8;"SSD";256;0;"Intel";" HD Graphics 620";"N/A";8;30636;141
4;"Apple";"Ultrabook";15.4;"medium";2880;1800;0;"2.70";16;"SSD";512;0;"AMD";" Radeon Pro 455";"macos";16;135195;221
5;"Apple";"Ultrabook";13.3;"small";2560;1600;0;"3.10";8;"SSD";256;0;"Intel";" Iris Plus Graphics 650";"macos";8;96096;227
6;"Acer";"Notebook";15.6;"medium";1366;768;0;"3.00";4;"HDD";500;0;"AMD";" Radeon R5";"windows";4;21312;100
7;"Apple";"Ultrabook";15.4;"medium";2880;1800;0;"2.20";16;"Flash Storage";256;0;"Intel";" Iris Pro Graphics";"macos";16;80635;221
8;"Apple";"Ultrabook";13.3;"small";1440;900;0;"1.80";8;"Flash Storage";256;0;"Intel";" HD Graphics 6000";"macos";8;61736;128
9;"Asus";"Ultrabook";14.0;"medium";1920;1080;0;"1.80";16;"SSD";512;0;"Nvidia";" GeForce MX150";"windows";16;79654;157
10;"Acer";"Ultrabook";14.0;"medium";1920;1080;0;"1.60";8;"SSD";256;0;"Intel";" UHD Graphics 620";"windows";8;41026;157
11;"HP";"Notebook";15.6;"medium";1366;768;0;"2.50";4;"HDD";500;0;"Intel";" HD Graphics 620";"N/A";4;20987;100
12;"HP";"Notebook";15.6;"medium";1920;1080;0;"2.00";4;"HDD";500;0;"Intel";" HD Graphics 520";"N/A";4;18381;141
13;"Apple";"Ultrabook";15.4;"medium";2880;1800;0;"2.80";16;"SSD";256;0;"AMD";" Radeon Pro 555";"macos";16;130002;221
14;"Dell";"Notebook";15.6;"medium";1920;1080;0;"2.00";4;"SSD";256;0;"AMD";" Radeon R5 M430";"windows";4;26581;141
15;"Apple";"Ultrabook";12.0;"small";2304;1440;0;"1.20";8;"SSD";256;0;"Intel";" HD Graphics 615";"macos";8;67261;226
16;"Apple";"Ultrabook";13.3;"small";2560;1600;0;"2.30";8;"SSD";256;0;"Intel";" Iris Plus Graphics 640";"macos";8;80908;227
17;"Dell";"Notebook";15.6;"medium";1920;1080;0;"2.70";8;"SSD";256;0;"AMD";" Radeon R5 M430";"windows";8;39694;141
18;"Apple";"Ultrabook";15.4;"medium";2880;1800;0;"2.90";16;"SSD";512;0;"AMD";" Radeon Pro 560";"macos";16;152274;221
19;"Lenovo";"Notebook";15.6;"medium";1920;1080;0;"2.40";8;"HDD";1024;0;"Nvidia";" GeForce 940MX";"N/A";8;26587;141
0;"Dell";"Ultrabook";13.3;"small";1920;1080;1;"1.60";8;"SSD";128;0;"Intel";" UHD Graphics 620";"windows";8;52161;166
22;"Lenovo";"Gaming";15.6;"medium";1920;1080;0;"2.50";8;"Hybrid";128;1024;"Nvidia";" GeForce GTX 1050";"windows";8;53227;141
23;"HP";"Notebook";15.6;"medium";1366;768;0;"1.50";4;"HDD";500;0;"AMD";" Radeon R2";"N/A";4;13746;100
24;"Dell";"2 in 1 Convertible";13.3;"small";1920;1080;1;"1.60";8;"SSD";256;0;"Intel";" UHD Graphics 620";"windows";8;43636;166
25;"HP";"Ultrabook";15.6;"medium";1920;1080;0;"1.80";8;"SSD";256;0;"Intel";" HD Graphics 620";"windows";8;35112;141
26;"Dell";"Notebook";15.6;"medium";1366;768;0;"2.00";4;"HDD";1024;0;"Intel";" HD Graphics 520";"windows";4;22305;100
27;"Apple";"Ultrabook";13.3;"small";1440;900;0;"1.60";8;"Flash Storage";128;0;"Intel";" HD Graphics 6000";"macos";8;58555;128
28;"Dell";"Notebook";15.6;"medium";1920;1080;0;"1.60";8;"SSD";256;0;"AMD";" Radeon 530";"windows";8;42624;141
29;"Dell";"Ultrabook";15.6;"medium";1920;1080;0;"1.90";8;"SSD";256;256;"Intel";" UHD Graphics 620";"windows";8;69157;141
30;"HP";"Notebook";17.3;"large";1920;1080;0;"1.60";8;"HDD";1024;0;"Nvidia";" GeForce 930MX";"windows";8;47739;127
31;"Chuwi";"Notebook";15.6;"medium";1920;1080;0;"1.44";4;"Flash Storage";64;0;"Intel";" HD Graphics";"windows";4;13053;141
32;"Asus";"Notebook";14.0;"medium";1366;768;0;"1.50";2;"Flash Storage";32;0;"AMD";" Radeon R2";"windows";2;10603;112
33;"HP";"Notebook";17.3;"large";1920;1080;0;"2.50";4;"HDD";500;0;"AMD";" Radeon 530";"windows";4;23390;127
34;"Dell";"Ultrabook";13.3;"small";3200;1800;1;"1.80";16;"SSD";512;0;"Intel";" UHD Graphics 620";"windows";16;99580;276
35;"Apple";"Ultrabook";13.3;"small";1440;900;0;"1.60";8;"Flash Storage";256;0;"Intel";" HD Graphics 6000";"macos";8;53173;128
36;"Lenovo";"Notebook";14.0;"medium";1366;768;0;"1.10";4;"Flash Storage";64;0;"Intel";" HD Graphics 500";"windows";4;13267;112
37;"Acer";"Notebook";15.6;"medium";1366;768;0;"2.70";4;"HDD";1024;0;"Intel";" HD Graphics 620";"linux";4;19554;100
38;"Dell";"Notebook";17.3;"large";1920;1080;0;"1.60";8;"Hybrid";128;1024;"AMD";" Radeon 530";"windows";8;52161;127
39;"HP";"Notebook";15.6;"medium";1366;768;0;"2.50";4;"HDD";1024;0;"Intel";" HD Graphics 620";"windows";4;26037;100
40;"HP";"Notebook";15.6;"medium";1920;1080;0;"1.60";8;"SSD";256;0;"Nvidia";" GeForce 930MX ";"windows";8;46833;141
41;"Asus";"Notebook";15.6;"medium";1920;1080;0;"2.00";4;"HDD";1024;0;"Intel";" HD Graphics 620";"linux";4;20726;141
42;"Dell";"Gaming";15.6;"medium";1920;1080;0;"2.80";16;"Hybrid";256;1024;"Nvidia";" GeForce GTX 1060";"windows";16;79867;141
43;"Asus";"Notebook";15.6;"medium";1366;768;0;"2.50";8;"HDD";1024;0;"Nvidia";" GeForce 940MX";"linux";8;27865;100
44;"Acer";"Notebook";15.6;"medium";1920;1080;0;"1.60";4;"SSD";256;0;"Intel";" UHD Graphics 620";"windows";4;36337;141
45;"Dell";"2 in 1 Convertible";17.3;"large";1920;1080;1;"1.60";12;"HDD";1024;0;"Nvidia";" GeForce 150MX";"windows";12;53227;127
0;"Apple";"Ultrabook";13.3;"small";2560;1600;0;"1.60";8;"SSD";256;0;"Intel";" UHD Graphics 620";"macos";8;52161;227
48;"Asus";"Gaming";17.3;"large";1920;1080;0;"3.00";8;"Hybrid";256;1024;"AMD";" Radeon RX 580";"windows";8;69211;127
49;"Dell";"Notebook";15.6;"medium";1920;1080;0;"2.50";4;"SSD";256;0;"AMD";" Radeon R5 M430";"windows";4;34046;141
0;"Asus";"Notebook";17.3;"large";1366;768;0;"1.60";8;"HDD";1024;0;"Intel";" UHD Graphics 620";"windows";8;52161;91
52;"Acer";"Notebook";15.6;"medium";1920;1080;0;"1.80";8;"SSD";256;0;"Nvidia";" GeForce MX150";"windows";8;44808;141
53;"HP";"Notebook";15.6;"medium";1920;1080;0;"2.50";4;"SSD";256;0;"AMD";" Radeon R4 Graphics";"windows";4;21232;141
54;"HP";"Notebook";13.3;"small";1920;1080;0;"1.80";8;"SSD";512;0;"Intel";" UHD Graphics 620";"windows";8;58768;166
55;"Acer";"Notebook";15.6;"medium";1366;768;0;"2.40";4;"HDD";1024;0;"Intel";" HD Graphics 620";"windows";4;20460;100
56;"Dell";"Notebook";15.6;"medium";1920;1080;0;"1.80";8;"SSD";256;0;"AMD";" Radeon 520";"windows";8;40908;141
57;"HP";"Notebook";15.6;"medium";1920;1080;0;"2.00";4;"SSD";128;0;"Intel";" HD Graphics 520";"windows";4;23390;141
58;"Asus";"Notebook";15.6;"medium";1366;768;0;"2.50";4;"SSD";256;0;"Intel";" HD Graphics 620";"windows";4;31232;100
59;"MSI";"Gaming";17.3;"large";1920;1080;0;"2.80";16;"Hybrid";256;2048;"Nvidia";" GeForce GTX 1070";"windows";16;130483;127
60;"Asus";"Notebook";15.6;"medium";1920;1080;0;"2.00";4;"SSD";256;0;"Intel";" HD Graphics 520";"linux";4;22111;141
61;"Dell";"Notebook";17.3;"large";1920;1080;0;"1.80";16;"Hybrid";256;2048;"AMD";" Radeon 530";"windows";16;69211;127
62;"Dell";"Ultrabook";14.0;"medium";1920;1080;0;"1.60";8;"SSD";256;0;"Intel";" UHD Graphics 620";"windows";8;46833;157
63;"Lenovo";"Notebook";14.0;"medium";1920;1080;0;"2.70";8;"SSD";256;0;"Intel";" HD Graphics 620";"N/A";8;31915;157
64;"Asus";"Notebook";14.0;"medium";1920;1080;0;"1.60";8;"SSD";256;0;"Intel";" UHD Graphics 620";"windows";8;50136;157
65;"HP";"Notebook";15.6;"medium";1920;1080;0;"2.50";8;"SSD";256;0;"Intel";" HD Graphics 620";"windows";8;36763;141
66;"Asus";"Ultrabook";15.6;"medium";1920;1080;0;"2.80";16;"SSD";512;0;"Nvidia";" GeForce GTX 1050 Ti";"windows";16;105654;141
67;"HP";"Notebook";15.6;"medium";1366;768;0;"2.00";4;"HDD";500;0;"AMD";" Radeon 520";"windows";4;23373;100
68;"HP";"Notebook";14.0;"medium";1366;768;0;"1.60";4;"SSD";32;0;"Intel";" HD Graphics 400";"windows";4;12201;112
69;"Lenovo";"Notebook";15.6;"medium";1920;1080;0;"2.50";4;"HDD";1024;0;"Intel";" HD Graphics 620";"windows";4;29251;141
70;"Asus";"Gaming";17.3;"large";1920;1080;0;"2.80";12;"HDD";1024;0;"Nvidia";" GeForce GTX 1050 Ti";"linux";12;50563;127
71;"Microsoft";"Ultrabook";13.5;"small";2256;1504;1;"2.50";4;"SSD";128;0;"Intel";" HD Graphics 620";"windows";4;58022;201
72;"Dell";"Ultrabook";13.3;"small";1920;1080;0;"1.80";64;"SSD";256;0;"AMD";" Radeon 530";"windows";64;50882;166
73;"Dell";"Notebook";15.6;"medium";1920;1080;0;"1.80";8;"SSD";256;0;"AMD";" Radeon 530";"windows";8;46354;141
74;"MSI";"Gaming";17.3;"large";1920;1080;0;"2.50";8;"Hybrid";128;1024;"Nvidia";" GeForce GTX 1050";"windows";8;58342;127
75;"Acer";"Notebook";14.0;"medium";1366;768;0;"2.00";8;"HDD";1024;0;"Intel";" HD Graphics 520";"windows";8;20726;112
76;"Asus";"Gaming";15.6;"medium";1920;1080;0;"2.80";8;"HDD";1024;0;"Nvidia";" GeForce GTX 1050";"windows";8;50563;141
77;"Lenovo";"Notebook";15.6;"medium";1920;1080;0;"2.50";8;"HDD";2048;0;"Intel";" HD Graphics 620";"N/A";8;27652;141
78;"Dell";"Notebook";15.6;"medium";1920;1080;0;"1.80";8;"Hybrid";128;1024;"Intel";" UHD Graphics 620";"windows";8;45554;141
79;"Acer";"Notebook";15.6;"medium";1920;1080;0;"2.70";4;"HDD";1024;0;"Nvidia";" GeForce MX130";"windows";4;28238;141
80;"HP";"Notebook";17.3;"large";1920;1080;0;"1.60";8;"Hybrid";128;1024;"Nvidia";" GeForce 930MX";"windows";8;52055;127
81;"Dell";"Ultrabook";15.6;"medium";1920;1080;0;"1.60";8;"SSD";256;0;"Intel";" UHD Graphics 620";"windows";8;58403;141
82;"Apple";"Ultrabook";12.0;"small";2304;1440;0;"1.30";8;"SSD";512;0;"Intel";" HD Graphics 615";"macos";8;80453;226
83;"HP";"Notebook";14.0;"medium";1920;1080;0;"1.60";8;"SSD";256;0;"Intel";" HD Graphics 620";"windows";8;45821;157
84;"Lenovo";"Notebook";15.6;"medium";1920;1080;0;"2.50";4;"SSD";128;0;"AMD";" R4 Graphics";"windows";4;21259;141
85;"Acer";"Notebook";15.6;"medium";1366;768;0;"3.00";4;"HDD";1024;0;"AMD";" Radeon R5";"windows";4;21046;100
86;"Dell";"Gaming";15.6;"medium";1920;1080;0;"2.80";16;"Hybrid";128;1024;"Nvidia";" GeForce GTX 1050 Ti";"windows";16;71875;141
87;"HP";"Ultrabook";15.6;"medium";1920;1080;0;"1.80";8;"SSD";256;0;"Nvidia";" GeForce GTX 940MX";"windows";8;37243;141
88;"HP";"Notebook";15.6;"medium";1920;1080;0;"2.50";8;"SSD";256;0;"Intel";" HD Graphics 620";"windows";8;31914;141
89;"Asus";"Gaming";15.6;"medium";1920;1080;0;"2.80";16;"Hybrid";128;1024;"Nvidia";" GeForce GTX 1060";"windows";16;77203;141
90;"Dell";"Ultrabook";13.3;"small";1920;1080;0;"1.80";8;"SSD";256;0;"Intel";" UHD Graphics 620";"windows";8;87859;166
91;"Asus";"Gaming";15.6;"medium";1920;1080;0;"3.00";8;"HDD";1024;0;"AMD";" Radeon RX 560";"windows";8;37243;141
